1482 - TIKER: MOEX | FIGI: TCS10A0JR4A1 | CLASSCODE: SPEQ
1505 - TIKER: OZON | FIGI: TCS4269L1044 | CLASSCODE: SPEQ
1510 - TIKER: BLNG | FIGI: BBG000VQWH86 | CLASSCODE: TQBR
1533 - TIKER: SBER | FIGI: TCS109029540 | CLASSCODE: SPEQ
1653 - TIKER: POSI | FIGI: TCS10A103X66 | CLASSCODE: PSSU
1660 - TIKER: MAGN | FIGI: BBG004S68507 | CLASSCODE: TQBR
1662 - TIKER: VTBR | FIGI: BBG004730ZJ9 | CLASSCODE: TQBR
1690 - TIKER: SMLT | FIGI: BBG00F6NKQX3 | CLASSCODE: TQBR
1718 - TIKER: BANE | FIGI: BBG004S68758 | CLASSCODE: TQBR
1720 - TIKER: SMLT | FIGI: TCS00A0ZZG02 | CLASSCODE: SPEQ
1730 - TIKER: AFLT | FIGI: BBG004S683W7 | CLASSCODE: TQBR
1758 - TIKER: CIAN | FIGI: BBG012YQ6P43 | CLASSCODE: TQBR
1769 - TIKER: TGKB | FIGI: TCS00A0JNGS7 | CLASSCODE: SMAL
1783 - TIKER: RUAL | FIGI: BBG008F2T3T2 | CLASSCODE: TQBR
1792 - TIKER: NKHP | FIGI: BBG00BGKYH17 | CLASSCODE: TQBR
1814 - TIKER: GAZA | FIGI: BBG0027SYKK2 | CLASSCODE: TQBR
1841 - TIKER: RGSS | FIGI: BBG005S5WCS4 | CLASSCODE: TQBR
1910 - TIKER: POLY | FIGI: TCS0B6T5S470 | CLASSCODE: SPEQ
1914 - TIKER: SBER | FIGI: BBG004730N88 | CLASSCODE: TQBR
1946 - TIKER: WTCM | FIGI: BBG000TG6T57 | CLASSCODE: TQBR
1971 - TIKER: SGZH | FIGI: TCS00A102XG9 | CLASSCODE: SMAL
1991 - TIKER: RBCM | FIGI: BBG001DJNR51 | CLASSCODE: TQBR
2018 - TIKER: VGSB | FIGI: BBG000FJ6LN3 | CLASSCODE: TQBR
2036 - TIKER: GECO | FIGI: TCS00A105BN4 | CLASSCODE: TQBR
2044 - TIKER: MDMG | FIGI: BBG00Y3XYV94 | CLASSCODE: TQBR
2103 - TIKER: RUSP | FIGI: BBG000R466J1 | CLASSCODE: TQBR
2105 - TIKER: GTRK | FIGI: BBG00HY6V6H5 | CLASSCODE: TQBR
2107 - TIKER: MVID | FIGI: BBG004S68CP5 | CLASSCODE: TQBR
2180 - TIKER: YNDX | FIGI: TCS109805522 | CLASSCODE: SPEQ
2220 - TIKER: POSI | FIGI: TCS20A103X66 | CLASSCODE: PTEQ
2239 - TIKER: SPBE | FIGI: TCS10A0JQ9P9 | CLASSCODE: SPBERUB
2247 - TIKER: OKEY | FIGI: BBG00172J7S9 | CLASSCODE: TQBR
2249 - TIKER: ALRS | FIGI: BBG004S68B31 | CLASSCODE: TQBR
2327 - TIKER: LPSB | FIGI: BBG000DD0BC8 | CLASSCODE: TQBR
2331 - TIKER: HMSG | FIGI: BBG001D4Z8T7 | CLASSCODE: HMSG
2332 - TIKER: DSKY | FIGI: TCS10A0JSQ90 | CLASSCODE: SPEQ
2365 - TIKER: MRKP | FIGI: BBG000VG1034 | CLASSCODE: TQBR
2373 - TIKER: VTBR | FIGI: TCS00A0JP5V6 | CLASSCODE: SMAL
2386 - TIKER: RAVN | FIGI: BBG00M54PM65 | CLASSCODE: TQBR
2405 - TIKER: FIVE | FIGI: TCS8387E2054 | CLASSCODE: SPEQ
2426 - TIKER: FLOT | FIGI: BBG000R04X57 | CLASSCODE: TQBR
2427 - TIKER: UCSS | FIGI: BBG004K6B556 | CLASSCODE: TQBR
2446 - TIKER: RSTI | FIGI: TCS00A0JPVJ0 | CLASSCODE: SMAL
2461 - TIKER: YKEN | FIGI: BBG000HJXDM0 | CLASSCODE: TQBR
2527 - TIKER: ELTZ | FIGI: BBG002B9M1L3 | CLASSCODE: TQBR
2528 - TIKER: TATN | FIGI: BBG004RVFFC0 | CLASSCODE: TQBR
2529 - TIKER: KCHE | FIGI: BBG000P69JH9 | CLASSCODE: TQBR
2544 - TIKER: DIOD | FIGI: BBG000R0L782 | CLASSCODE: TQBR
2556 - TIKER: FIVE | FIGI: BBG00JXPFBN0 | CLASSCODE: TQBR
2557 - TIKER: MSTT | FIGI: BBG004S68DD6 | CLASSCODE: TQBR
2566 - TIKER: USBN | FIGI: BBG000BY39G2 | CLASSCODE: TQBR
2580 - TIKER: EELT | FIGI: BBG001V474L5 | CLASSCODE: TQBR
2586 - TIKER: MTLR | FIGI: BBG004S68598 | CLASSCODE: TQBR
2602 - TIKER: GTRK | FIGI: TCS00A0ZYD22 | CLASSCODE: PSBB_EQ
2639 - TIKER: MGNT | FIGI: TCS00A0JKQU8 | CLASSCODE: SPEQ
2700 - TIKER: ALNU | FIGI: BBG002B25NL9 | CLASSCODE: TQBR
2734 - TIKER: UWGN | FIGI: BBG008HD3V85 | CLASSCODE: TQPI
2751 - TIKER: RTKM | FIGI: TCS008943394 | CLASSCODE: SMAL
2773 - TIKER: RUAL | FIGI: TCS00A1025V3 | CLASSCODE: SPEQ
2778 - TIKER: AKRN | FIGI: BBG004S688G4 | CLASSCODE: TQBR
2789 - TIKER: KROT | FIGI: TCS008913850 | CLASSCODE: SMAL
2802 - TIKER: GAZP | FIGI: BBG004730RP0 | CLASSCODE: TQBR
2804 - TIKER: IRAO | FIGI: TCS10A0JPNM1 | CLASSCODE: SPEQ
2823 - TIKER: DVEC | FIGI: BBG000V07CB8 | CLASSCODE: TQBR
2840 - TIKER: KMEZ | FIGI: BBG000Q136G4 | CLASSCODE: TQBR
2848 - TIKER: ZILL | FIGI: BBG000NN26P0 | CLASSCODE: TQBR
2878 - TIKER: RTKM | FIGI: BBG004S682Z6 | CLASSCODE: TQBR
2918 - TIKER: LENT | FIGI: BBG0063FKTD9 | CLASSCODE: TQBR
2920 - TIKER: LIFE | FIGI: BBG0019K04R5 | CLASSCODE: TQBR
2969 - TIKER: BSPB | FIGI: BBG000QJW156 | CLASSCODE: TQBR
2985 - TIKER: MTSS | FIGI: BBG004S681W1 | CLASSCODE: TQBR
3032 - TIKER: GLPR | FIGI: BBG001QSKQG0 | CLASSCODE: GLPR
3036 - TIKER: MFON | FIGI: BBG003NXF5V3 | CLASSCODE: TQBR
3043 - TIKER: TGKN | FIGI: BBG000RG4ZQ4 | CLASSCODE: TQBR
3051 - TIKER: RKKE | FIGI: BBG000LWNRP3 | CLASSCODE: TQBR
3067 - TIKER: LSNG | FIGI: BBG000NLC9Z6 | CLASSCODE: TQBR
3072 - TIKER: RENI | FIGI: BBG00QKJSX05 | CLASSCODE: TQBR
3084 - TIKER: MAIL | FIGI: TCSS03172082 | CLASSCODE: TQBR
3111 - TIKER: MRKC | FIGI: BBG000VH7TZ8 | CLASSCODE: TQBR
3144 - TIKER: KGKC | FIGI: BBG001BBFTQ2 | CLASSCODE: TQBR
3149 - TIKER: MTLR | FIGI: TCS00A0DKXV5 | CLASSCODE: SPEQ
3154 - TIKER: SVET | FIGI: BBG00M8JQW11 | CLASSCODE: TQBR
3187 - TIKER: SPBE | FIGI: TCS00A0JQ9P9 | CLASSCODE: SPBRU_USD
3195 - TIKER: POSI | FIGI: TCS00A103X66 | CLASSCODE: TQBR
